customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.0,1090.14,No
CUST-00001,Female,0,No,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.3,690.11,No
CUST-00002,Female,1,Yes,Yes,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,911.46,No
CUST-00003,Male,0,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.53,6551.76,No
CUST-00004,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,88.05,251.32,No
CUST-00005,Female,0,No,Yes,8,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,97.6,772.37,Yes
CUST-00006,Male,1,No,No,67,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,58.74,3974.75,No
CUST-00007,Female,1,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.59,1033.5,No
CUST-00008,Male,0,No,No,45,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),87.88,3950.93,No
CUST-00009,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,88.72,2140.86,Yes
CUST-00010,Female,0,No,Yes,60,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.66,3641.01,No
CUST-00011,Female,0,No,Yes,47,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),63.14,2979.76,No
CUST-00012,Female,0,Yes,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.02,436.33,No
CUST-00013,Female,0,No,No,47,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),66.38,3148.65,Yes
CUST-00014,Female,0,No,No,0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),63.9,0.9,Yes
CUST-00015,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),82.85,1416.56,No
CUST-00016,Female,0,No,No,14,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),94.73,1330.42,Yes
CUST-00017,Male,0,No,No,57,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,65.25,3701.35,No
CUST-00018,Female,0,Yes,Yes,53,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),63.49,3368.87,No
CUST-00019,Male,0,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,75.05,No
